PLAYER_ID,PLAYER_NAME,NCAA_GAMES_PLAYED,NCAA_MINUTES_PLAYED,NCAA_FG,NCAA_FG_ATTEMPTS,NCAA_3PT,NCAA_3PT_ATTEMPTS,NCAA_FT,NCAA_FT_ATTEMPTS,NCAA_OFFENSIVE_RBS,NCAA_TOTAL_RBS,NCAA_ASSISTS,NCAA_STEALS,NCAA_BLOCKS,NCAA_TURNOVERS,NCAA_PERSONAL_FOULS,NCAA_POINTS,NCAA_FG%,NCAA_3PT%,NCAA_FT%
1,Kenyon Martin,31,909,221,389,2,7,141,206,,300,42,43,107,56,71,585,0.568,0.286,0.684
2,Stromile Swift,34,1013,208,342,7,25,127,206,,279,32,50,95,80,88,550,0.608,0.28,0.617
3,Darius Miles,No College Data,,,,,,,,,,,,,,,,,,
4,Marcus Fizer,37,1243,327,562,15,42,175,239,,285,41,29,39,77,103,844,0.582,0.357,0.732
5,Mike Miller,37,1058,175,368,47,139,124,170,,243,91,46,15,71,70,521,0.476,0.338,0.729
6,DerMarr Johnson,32,879,140,293,52,140,70,95,,123,45,31,30,46,64,402,0.478,0.371,0.737
7,Chris Mihm,33,1014,206,394,7,15,164,232,,346,22,11,90,81,90,583,0.523,0.467,0.707
8,Jamal Crawford,17,577,105,255,33,101,40,51,,47,76,19,16,53,19,283,0.412,0.327,0.784
9,Joel Przybilla,21,638,122,199,0,0,55,111,,176,50,17,81,77,61,299,0.613,,0.495
10,Keyon Dooling,31,983,145,373,59,170,124,167,,84,113,44,17,79,56,473,0.389,0.347,0.743
11,Jerome Moiso,33,972,170,339,1,6,87,142,,252,40,37,55,88,93,428,0.501,0.167,0.613
12,Etan Thomas,29,940,148,246,0,0,99,146,,269,16,22,107,59,92,395,0.602,,0.678
13,Courtney Alexander,27,974,252,564,58,175,107,137,,128,94,37,4,67,61,669,0.447,0.331,0.781
14,Mateen Cleaves,26,820,109,259,32,85,65,86,,46,179,36,4,95,57,315,0.421,0.376,0.756
15,Jason Collier,30,975,178,376,31,84,122,166,,276,49,23,33,96,80,509,0.473,0.369,0.735
16,Hedo Turkoglu,No College Data,,,,,,,,,,,,,,,,,,
17,Desmond Mason,34,1202,211,423,64,149,125,163,,225,52,41,33,60,69,611,0.499,0.43,0.767
18,Quentin Richardson,33,1150,202,468,73,190,84,119,,325,72,35,9,77,75,561,0.432,0.384,0.706
19,Jamaal Magloire,33,978,148,296,0,0,139,203,,300,18,17,57,95,91,435,0.5,,0.685
20,Speedy Claxton,31,1089,253,538,51,134,149,195,,168,186,102,5,101,71,706,0.47,0.381,0.764
21,Morris Peterson,39,1136,218,469,85,200,136,176,,235,49,46,11,84,79,657,0.465,0.425,0.773
22,Donnell Harvey,37,746,144,284,0,1,86,141,,258,37,27,31,60,101,374,0.507,0,0.61
23,DeShawn Stevenson,No College Data,,,,,,,,,,,,,,,,,,
24,Dalibor Bagaric,No College Data,,,,,,,,,,,,,,,,,,
25,Jake Tsakalidis,No College Data,,,,,,,,,,,,,,,,,,
26,Mamadou N'Diaye,34,903,100,187,0,0,103,155,,267,18,26,66,,,303,0.535,,0.665
27,Primoz Brezec,No College Data,,,,,,,,,,,,,,,,,,
28,Erick Barkley,28,1033,159,400,50,160,81,122,,84,127,84,8,68,64,449,0.398,0.313,0.664
29,Mark Madsen,23,628,108,184,0,0,65,113,,214,25,13,21,34,52,281,0.587,,0.575
30,Marko Jaric,No College Data,,,,,,,,,,,,,,,,,,
31,Dan Langhi,30,1033,222,465,58,144,162,186,,181,23,13,9,53,56,664,0.477,0.403,0.871
32,A.J. Guyton,29,995,204,444,72,172,90,114,,90,68,29,13,69,27,570,0.459,0.419,0.789
33,Jake Voskuhl,34,778,109,191,0,0,71,104,,219,39,18,47,62,93,289,0.571,,0.683
34,Khalid El-Amin,35,1118,195,475,63,177,107,120,,110,183,59,4,93,73,560,0.411,0.356,0.892
35,Mike Smith,28,1011,187,441,75,222,113,141,,264,96,42,25,121,56,562,0.424,0.338,0.801
36,Soumaila Samake,No College Data,,,,,,,,,,,,,,,,,,
37,Eddie House,32,1189,263,623,73,200,137,164,,175,111,74,2,72,66,736,0.422,0.365,0.835
38,Eduardo Najera,34,1162,234,514,18,82,139,202,,314,72,59,25,82,97,625,0.455,0.22,0.688
39,Lavor Postell,33,1155,171,400,25,85,106,131,,229,60,30,21,49,79,473,0.428,0.294,0.809
40,Hanno Mottola,21,579,116,233,21,60,105,127,,101,36,4,12,63,68,358,0.498,0.35,0.827
41,Chris Carrawell,No College Data,,,,,,,,,,,,,,,,,,
42,Olumide Oyedeji,No College Data,,,,,,,,,,,,,,,,,,
43,Michael Redd,30,1004,197,452,34,108,90,116,,196,62,37,6,62,56,518,0.436,0.315,0.776
44,Brian Cardinal,32,943,137,333,42,124,130,169,,203,71,65,10,74,86,446,0.411,0.339,0.769
45,Jabari Smith,34,969,156,282,13,35,100,168,,239,75,24,33,88,84,425,0.553,0.371,0.595
46,DeeAndre Hulett,No College Data,,,,,,,,,,,,,,,,,,
47,Josip Sesar,No College Data,,,,,,,,,,,,,,,,,,
48,Mark Karcher,No College Data,,,,,,,,,,,,,,,,,,
49,Jason Hart,32,1083,125,304,38,115,94,128,,96,208,59,3,111,78,382,0.411,0.33,0.734
50,Kaniel Dickens,29,796,118,243,13,34,102,160,,192,27,26,25,65,96,351,0.486,0.382,0.638
51,Igor Rakocevic,No College Data,,,,,,,,,,,,,,,,,,
52,Ernest Brown,33,,168,276,0,0,59,113,,227,21,,,,,395,0.609,,0.522
53,Dan McClintock,31,754,190,318,0,0,103,151,,202,36,11,70,57,88,483,0.597,,0.682
54,Cory Hightower,No College Data,,,,,,,,,,,,,,,,,,
55,Chris Porter,26,755,141,304,4,17,94,139,,191,30,52,9,54,70,380,0.464,0.235,0.676
56,Jaquay Walls,No College Data,,,,,,,,,,,,,,,,,,
57,Scoonie Penn,No College Data,,,,,,,,,,,,,,,,,,
58,Pete Mickeal,No College Data,,,,,,,,,,,,,,,,,,
59,Kwame Brown,No College Data,,,,,,,,,,,,,,,,,,
60,Tyson Chandler,No College Data,,,,,,,,,,,,,,,,,,
61,Pau Gasol,No College Data,,,,,,,,,,,,,,,,,,
62,Eddy Curry,No College Data,,,,,,,,,,,,,,,,,,
63,Jason Richardson,33,940,182,362,49,122,73,106,,195,73,38,28,42,74,486,0.503,0.402,0.689
64,Shane Battier,39,1363,251,533,124,296,152,191,,285,72,82,88,60,80,778,0.471,0.419,0.796
65,Eddie Griffin,30,979,206,480,41,128,80,109,,323,49,26,133,67,71,533,0.429,0.32,0.734
66,DeSagana Diop,No College Data,,,,,,,,,,,,,,,,,,
67,Rodney White,28,865,188,386,33,95,114,160,,182,41,34,20,82,73,523,0.487,0.347,0.713
68,Joe Johnson,30,873,162,346,35,79,68,91,,193,77,43,12,70,46,427,0.468,0.443,0.747
69,Kedrick Brown,32,,266,504,76,188,124,169,,280,97,,,,,732,0.528,0.404,0.734
70,Vladimir Radmanovic,No College Data,,,,,,,,,,,,,,,,,,
71,Richard Jefferson,35,961,147,307,31,90,72,110,,190,94,27,28,104,98,397,0.479,0.344,0.655
72,Troy Murphy,30,1090,223,473,30,86,177,231,,277,62,27,50,90,96,653,0.471,0.349,0.766
73,Steven Hunter,30,808,138,233,0,0,67,125,,169,15,5,72,44,70,343,0.592,,0.536
74,Kirk Haston,33,1018,243,552,26,69,114,166,,288,41,36,40,79,93,626,0.44,0.377,0.687
75,Michael Bradley,31,1053,254,367,12,34,125,212,,303,81,28,56,88,89,645,0.692,0.353,0.59
76,Jason Collins,34,895,168,271,12,26,145,185,,265,51,28,43,53,79,493,0.62,0.462,0.784
77,Zach Randolph,33,654,138,235,0,1,80,126,,221,34,24,22,53,60,356,0.587,0,0.635
78,Brendan Haywood,33,901,155,262,0,0,95,184,,242,42,18,120,66,97,405,0.592,,0.516
79,Joseph Forte,33,1145,251,558,55,146,133,156,,201,116,67,12,84,60,690,0.45,0.377,0.853
80,Jeryl Sasser,29,1011,170,431,35,122,117,163,,242,22,41,16,62,62,492,0.394,0.287,0.718
81,Brandon Armstrong,31,1027,240,537,76,198,128,155,,101,46,46,6,65,85,684,0.447,0.384,0.826
82,Raul Lopez,No College Data,,,,,,,,,,,,,,,,,,
83,Gerald Wallace,36,824,126,288,11,63,88,155,,216,55,42,37,86,87,351,0.438,0.175,0.568
84,Samuel Dalembert,29,622,100,177,0,0,40,72,,166,9,14,60,55,95,240,0.565,,0.556
85,Jamaal Tinsley,31,999,139,348,37,97,128,185,,117,187,79,19,117,92,443,0.399,0.381,0.692
86,Tony Parker,No College Data,,,,,,,,,,,,,,,,,,
87,Trenton Hassell,32,1213,246,507,53,136,148,186,,249,144,39,15,121,67,693,0.485,0.39,0.796
88,Gilbert Arenas,36,1044,208,434,69,166,97,134,,131,84,65,7,101,82,582,0.479,0.416,0.724
89,Omar Cook,29,1107,141,392,68,220,95,128,,88,252,66,5,148,82,445,0.36,0.309,0.742
90,Will Solomon,30,998,183,461,95,252,130,165,,86,102,42,9,123,71,591,0.397,0.377,0.788
91,Terence Morris,36,993,158,366,26,90,97,122,,277,68,32,79,64,94,439,0.432,0.289,0.795
92,Brian Scalabrine,34,1116,173,362,20,66,133,166,,202,96,30,31,104,89,499,0.478,0.303,0.801
93,Jeff Trepagnier,21,621,72,159,8,34,37,61,,107,33,32,20,40,56,189,0.453,0.235,0.607
